               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083058,            0.076683,            0.032906,             0.93222,             0.17995,             0.24745,               0.127,            0.047284,            0.081619,            0.018234,            0.084535,            0.001164,            0.001164
                   1,             0.05427,            0.064624,            0.018712,             0.81011,             0.29286,             0.31932,             0.19785,            0.040594,            0.077598,            0.015774,            0.069012,           0.0023076,           0.0023076
                   2,            0.051013,             0.06086,            0.016055,             0.86021,             0.33437,             0.37777,             0.23597,            0.035201,            0.072699,            0.013421,            0.053466,           0.0034281,           0.0034281
                   3,            0.047292,            0.056751,            0.013859,              0.8102,             0.40857,             0.43068,              0.2661,            0.033208,            0.067486,            0.011692,            0.037897,           0.0045255,           0.0045255
                   4,            0.043658,            0.053804,            0.011919,             0.56284,             0.53516,              0.5301,             0.33971,            0.029826,            0.063826,           0.0099452,            0.022304,           0.0055998,           0.0055998
                   5,            0.040115,            0.051946,           0.0099796,             0.70277,             0.57468,             0.61228,             0.41073,            0.026565,            0.058732,            0.008206,            0.006689,            0.006651,            0.006651
                   6,             0.03671,            0.049212,           0.0081451,             0.88036,             0.58046,             0.67487,             0.46768,            0.024849,            0.056024,           0.0065678,           0.0065842,           0.0065842,           0.0065842
                   7,            0.033727,            0.047891,           0.0069014,             0.88882,             0.66359,             0.72731,             0.51087,            0.024577,            0.055084,           0.0056315,           0.0065842,           0.0065842,           0.0065842
                   8,            0.031532,            0.045671,           0.0059237,             0.92476,             0.70628,             0.78269,             0.56763,            0.021783,            0.053169,           0.0047989,           0.0065149,           0.0065149,           0.0065149
                   9,            0.030256,            0.044253,           0.0052555,             0.88046,             0.71687,             0.80358,               0.584,            0.021402,            0.050432,           0.0043854,           0.0064456,           0.0064456,           0.0064456
                  10,            0.029055,            0.043161,            0.004851,              0.7876,             0.83984,             0.85249,              0.6259,            0.020327,            0.048821,           0.0041107,           0.0063763,           0.0063763,           0.0063763
                  11,            0.028246,            0.042239,           0.0045107,              0.8963,             0.81859,             0.86062,             0.63177,            0.020047,            0.048354,           0.0037622,            0.006307,            0.006307,            0.006307
                  12,            0.027575,             0.04173,           0.0042247,             0.91635,             0.82837,             0.87121,             0.63441,            0.020311,            0.047727,           0.0034011,           0.0062377,           0.0062377,           0.0062377
                  13,            0.026856,            0.041013,           0.0040262,             0.93018,             0.82461,             0.87113,             0.65508,             0.01917,            0.046935,           0.0032792,           0.0061684,           0.0061684,           0.0061684
                  14,            0.026297,            0.040671,           0.0038443,             0.93186,             0.83094,             0.87533,             0.66265,            0.018896,            0.046873,           0.0031955,           0.0060991,           0.0060991,           0.0060991
                  15,             0.02584,            0.040197,           0.0036925,             0.92931,             0.83708,             0.88131,             0.66487,            0.018905,            0.046661,           0.0030319,           0.0060298,           0.0060298,           0.0060298
                  16,            0.025276,            0.039688,           0.0035812,             0.93454,             0.83997,             0.88899,             0.68058,            0.018278,            0.047527,           0.0030271,           0.0059605,           0.0059605,           0.0059605
                  17,            0.024945,            0.039276,           0.0033645,             0.94206,             0.83675,              0.8925,             0.67767,             0.01795,            0.044923,           0.0028388,           0.0058912,           0.0058912,           0.0058912
