               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.018493,            0.053665,           0.0016037,             0.97194,             0.96159,             0.98394,              0.8267,            0.013145,            0.041116,           0.0010908,            0.006535,            0.006535,            0.006535
                  37,              0.0183,            0.053039,           0.0016044,             0.97185,               0.959,             0.98435,              0.8329,            0.013097,            0.041092,            0.001073,            0.006436,            0.006436,            0.006436
                  38,             0.01823,            0.052839,           0.0015654,              0.9716,             0.96068,              0.9843,             0.82971,            0.013086,            0.041455,           0.0010781,            0.006337,            0.006337,            0.006337
                  39,            0.018125,            0.053269,           0.0015268,             0.97162,             0.96502,             0.98447,             0.83368,            0.012947,            0.040616,           0.0010471,            0.006238,            0.006238,            0.006238
                  40,             0.01785,            0.052838,           0.0014902,             0.97362,             0.96341,             0.98465,             0.83292,              0.0129,            0.040705,            0.001052,            0.006139,            0.006139,            0.006139
                  41,             0.01791,            0.052203,           0.0015436,             0.97003,             0.96303,             0.98409,             0.83605,            0.012768,            0.040056,           0.0010367,             0.00604,             0.00604,             0.00604
                  42,            0.017713,            0.052206,           0.0014822,              0.9726,             0.96514,             0.98516,             0.83932,            0.012771,            0.040427,          0.00097238,            0.005941,            0.005941,            0.005941
                  43,            0.017655,            0.052407,           0.0014378,             0.97288,             0.97041,              0.9858,             0.83585,            0.012736,            0.040014,          0.00096323,            0.005842,            0.005842,            0.005842
                  44,            0.017427,            0.051551,           0.0014299,             0.97509,             0.96455,             0.98528,             0.83759,            0.012535,            0.039685,          0.00096645,            0.005743,            0.005743,            0.005743
                  45,            0.017461,            0.051312,           0.0013938,             0.97427,             0.96556,             0.98652,             0.84118,            0.012515,            0.039551,          0.00089959,            0.005644,            0.005644,            0.005644
                  46,            0.017303,            0.051445,           0.0014089,             0.97709,             0.96596,             0.98755,             0.84349,            0.012375,            0.039387,          0.00091939,            0.005545,            0.005545,            0.005545
                  47,            0.017309,            0.050922,           0.0013357,             0.97328,             0.96921,             0.98761,              0.8448,            0.012433,            0.039252,          0.00088097,            0.005446,            0.005446,            0.005446
                  48,            0.017047,            0.050805,           0.0013347,             0.97506,             0.96928,             0.98737,             0.84641,            0.012312,            0.038895,          0.00085801,            0.005347,            0.005347,            0.005347
                  49,            0.016985,            0.049769,           0.0013166,             0.97813,             0.96898,             0.98687,             0.84432,            0.012261,            0.038866,          0.00084738,            0.005248,            0.005248,            0.005248
                  50,            0.016864,            0.050043,           0.0012951,             0.97982,             0.96745,             0.98821,             0.84709,             0.01226,            0.038671,          0.00079658,            0.005149,            0.005149,            0.005149
                  51,             0.01656,            0.049514,           0.0012685,             0.97841,             0.96686,              0.9883,             0.84939,            0.012165,            0.038225,            0.000785,             0.00505,             0.00505,             0.00505
                  52,            0.016727,            0.049556,           0.0012541,             0.97982,             0.96628,             0.98623,             0.84931,            0.012119,            0.038391,          0.00077881,            0.004951,            0.004951,            0.004951
                  53,             0.01658,            0.049601,            0.001254,             0.97928,             0.96864,             0.98752,             0.85283,            0.012033,            0.037894,           0.0007645,            0.004852,            0.004852,            0.004852
                  54,            0.016453,            0.048703,           0.0012423,              0.9797,             0.96706,             0.98792,             0.85429,            0.011983,            0.037781,          0.00076736,            0.004753,            0.004753,            0.004753
                  55,            0.016382,            0.049111,            0.001205,             0.97794,             0.96939,             0.98815,             0.85306,            0.011949,            0.037841,             0.00073,            0.004654,            0.004654,            0.004654
                  56,            0.016102,            0.048076,           0.0011891,             0.97797,             0.96974,             0.98877,              0.8551,            0.011863,            0.037269,            0.000733,            0.004555,            0.004555,            0.004555
                  57,            0.016182,            0.048356,           0.0012037,             0.98313,             0.96944,             0.98924,             0.85724,            0.011829,            0.037284,          0.00069819,            0.004456,            0.004456,            0.004456
                  58,            0.015861,            0.047986,           0.0011454,             0.97959,             0.97019,             0.98912,             0.85656,            0.011726,            0.036969,          0.00067975,            0.004357,            0.004357,            0.004357
                  59,            0.015867,            0.047638,           0.0011224,             0.98074,             0.97105,             0.98819,             0.85702,            0.011723,            0.036875,          0.00067315,            0.004258,            0.004258,            0.004258
                  60,            0.015857,            0.047965,           0.0011382,             0.98017,             0.97176,             0.98854,              0.8606,            0.011674,            0.036781,          0.00065469,            0.004159,            0.004159,            0.004159
                  61,            0.015696,            0.046972,           0.0011304,             0.97999,             0.96956,             0.98912,             0.86009,            0.011647,            0.036685,          0.00065633,             0.00406,             0.00406,             0.00406
                  62,             0.01552,            0.047043,           0.0010929,             0.98193,             0.97135,             0.98965,             0.86189,            0.011555,            0.036277,          0.00063712,            0.003961,            0.003961,            0.003961
                  63,            0.015532,            0.047166,           0.0010953,             0.98173,             0.97285,             0.98954,             0.86227,            0.011509,            0.036189,           0.0006204,            0.003862,            0.003862,            0.003862
                  64,            0.015347,            0.046442,           0.0010589,             0.97977,             0.97121,             0.98978,             0.86245,            0.011483,             0.03612,          0.00060722,            0.003763,            0.003763,            0.003763
                  65,              0.0153,            0.046347,           0.0010763,             0.98001,             0.97164,             0.98928,             0.86301,            0.011434,            0.036127,          0.00059641,            0.003664,            0.003664,            0.003664
                  66,            0.015205,            0.046773,           0.0010363,             0.98255,             0.97135,             0.98924,             0.86377,             0.01142,            0.035909,          0.00057444,            0.003565,            0.003565,            0.003565
                  67,            0.015162,            0.046461,           0.0010351,             0.97974,             0.97471,             0.98977,             0.86386,            0.011399,            0.035745,          0.00056533,            0.003466,            0.003466,            0.003466
                  68,            0.015061,            0.045935,           0.0010149,             0.98259,             0.97342,              0.9903,             0.86615,            0.011313,            0.035488,          0.00054251,            0.003367,            0.003367,            0.003367
                  69,            0.014933,            0.045617,          0.00099103,             0.98594,             0.97395,              0.9904,             0.86809,            0.011257,            0.035335,          0.00052995,            0.003268,            0.003268,            0.003268
                  70,            0.014773,            0.045074,          0.00097646,             0.98004,             0.97337,             0.99021,             0.86815,              0.0112,            0.035072,          0.00050744,            0.003169,            0.003169,            0.003169
                  71,            0.014771,            0.045067,          0.00095879,             0.97866,             0.97512,             0.99019,             0.86791,            0.011161,            0.035053,          0.00049208,             0.00307,             0.00307,             0.00307
                  72,            0.014735,            0.045001,          0.00095306,             0.98255,             0.97459,             0.99032,              0.8686,            0.011126,            0.035036,          0.00048567,            0.002971,            0.002971,            0.002971
                  73,            0.014613,              0.0448,          0.00094525,             0.98594,             0.97514,              0.9904,             0.86975,            0.011084,             0.03474,          0.00046985,            0.002872,            0.002872,            0.002872
                  74,            0.014514,            0.044589,           0.0009409,             0.98412,             0.97465,             0.99037,             0.86997,            0.011072,            0.034707,          0.00045196,            0.002773,            0.002773,            0.002773
                  75,            0.014417,            0.044172,          0.00089785,             0.98514,              0.9711,             0.99035,             0.87039,            0.011024,            0.034549,          0.00044405,            0.002674,            0.002674,            0.002674
                  76,            0.014357,            0.044837,          0.00090169,              0.9837,             0.97198,             0.99084,             0.87221,            0.010964,            0.034412,          0.00043344,            0.002575,            0.002575,            0.002575
                  77,            0.014248,            0.043886,          0.00086945,             0.98384,              0.9742,             0.99047,             0.87212,            0.010962,            0.034286,          0.00041354,            0.002476,            0.002476,            0.002476
                  78,            0.014194,            0.043586,           0.0008527,             0.98189,             0.97544,             0.99045,             0.87221,            0.010934,            0.034245,          0.00040222,            0.002377,            0.002377,            0.002377
                  79,            0.014135,            0.043621,          0.00085793,             0.98536,             0.97286,             0.99043,             0.87417,            0.010877,            0.034062,           0.0003874,            0.002278,            0.002278,            0.002278
                  80,            0.013995,            0.043295,          0.00081637,             0.98448,              0.9746,             0.99033,             0.87508,            0.010854,            0.033952,          0.00036665,            0.002179,            0.002179,            0.002179
                  81,            0.013982,            0.042745,          0.00082763,              0.9844,               0.975,              0.9904,             0.87571,            0.010816,            0.033868,          0.00035593,             0.00208,             0.00208,             0.00208
                  82,            0.013894,             0.04324,           0.0008164,             0.98264,              0.9753,             0.99064,             0.87645,            0.010778,            0.033693,          0.00034691,            0.001981,            0.001981,            0.001981
                  83,            0.013845,            0.042535,          0.00080228,             0.98691,             0.97281,             0.99066,             0.87659,            0.010771,            0.033652,          0.00033281,            0.001882,            0.001882,            0.001882
                  84,            0.013738,            0.042754,          0.00080255,             0.98561,             0.97523,             0.99075,             0.87718,             0.01072,            0.033492,          0.00032865,            0.001783,            0.001783,            0.001783
                  85,            0.013662,            0.042147,          0.00077364,             0.98462,             0.97335,             0.99071,             0.87792,             0.01069,            0.033374,           0.0003282,            0.001684,            0.001684,            0.001684
                  86,            0.013592,            0.042161,          0.00075548,             0.98557,             0.97342,             0.99081,             0.87812,            0.010669,            0.033321,          0.00032331,            0.001585,            0.001585,            0.001585
                  87,            0.013552,            0.041803,          0.00075664,             0.98561,             0.97521,             0.99083,             0.87869,            0.010639,             0.03324,          0.00031756,            0.001486,            0.001486,            0.001486
                  88,            0.013533,            0.041851,          0.00074235,             0.98344,             0.97686,             0.99082,             0.87969,            0.010621,            0.033153,          0.00030923,            0.001387,            0.001387,            0.001387
                  89,            0.013408,            0.041486,          0.00072757,             0.98524,             0.97517,             0.99085,             0.87966,            0.010592,            0.033073,          0.00030374,            0.001288,            0.001288,            0.001288
                  90,            0.013434,             0.04153,          0.00072497,             0.98408,              0.9753,             0.99091,             0.87995,            0.010573,            0.032939,          0.00029994,            0.001189,            0.001189,            0.001189
                  91,            0.013314,            0.041175,          0.00069775,             0.98373,             0.97587,             0.99087,              0.8806,            0.010561,            0.032871,          0.00029694,             0.00109,             0.00109,             0.00109
                  92,            0.013336,            0.041542,          0.00071654,             0.98331,             0.97556,             0.99091,             0.88064,             0.01054,            0.032766,          0.00029562,            0.000991,            0.000991,            0.000991
                  93,            0.013187,             0.04063,          0.00069707,             0.98393,             0.97763,             0.99096,             0.88097,            0.010526,            0.032705,          0.00029053,            0.000892,            0.000892,            0.000892
                  94,            0.013225,            0.040808,          0.00069598,             0.98626,             0.97719,             0.99103,             0.88125,            0.010512,             0.03267,          0.00028791,            0.000793,            0.000793,            0.000793
                  95,            0.013164,            0.040586,          0.00069376,             0.98691,              0.9771,             0.99102,             0.88157,            0.010491,            0.032593,          0.00028614,            0.000694,            0.000694,            0.000694
                  96,            0.013095,            0.040384,          0.00066621,             0.98641,              0.9781,             0.99112,              0.8818,            0.010475,            0.032546,          0.00028629,            0.000595,            0.000595,            0.000595
                  97,            0.013055,            0.040211,          0.00065225,              0.9872,             0.97815,             0.99116,             0.88186,             0.01046,            0.032472,          0.00028334,            0.000496,            0.000496,            0.000496
                  98,            0.013046,             0.04036,          0.00067487,             0.98728,             0.97767,             0.99111,             0.88226,            0.010442,            0.032414,          0.00028246,            0.000397,            0.000397,            0.000397
                  99,            0.013061,             0.04017,          0.00068548,             0.98758,             0.97626,             0.99109,             0.88284,            0.010429,            0.032373,          0.00028156,            0.000298,            0.000298,            0.000298
