epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6534.93,0.45645,0.27253,0.80063,0.96486,0.93304,0.96292,0.83475,0.39217,0.23432,0.76382,0.005842,0.005842,0.005842
44,6685.01,0.45314,0.27177,0.80107,0.96256,0.93529,0.96423,0.83798,0.38886,0.2307,0.76406,0.005743,0.005743,0.005743
45,6837.46,0.45067,0.2693,0.80016,0.96681,0.9315,0.96217,0.83807,0.38791,0.22955,0.76271,0.005644,0.005644,0.005644
46,6988.96,0.44899,0.26894,0.79959,0.96225,0.93271,0.9631,0.84226,0.38508,0.2276,0.7637,0.005545,0.005545,0.005545
47,7139.91,0.44701,0.26731,0.79914,0.96443,0.93256,0.96412,0.84317,0.38392,0.22744,0.76357,0.005446,0.005446,0.005446
48,7290.73,0.44431,0.26644,0.79889,0.96709,0.93572,0.96634,0.84497,0.37769,0.22456,0.76237,0.005347,0.005347,0.005347
49,7442.09,0.44041,0.26397,0.79801,0.96759,0.93282,0.96585,0.84567,0.37416,0.22258,0.76174,0.005248,0.005248,0.005248
50,7593.29,0.43795,0.26154,0.79709,0.96614,0.93804,0.96543,0.84725,0.37216,0.22372,0.76104,0.005149,0.005149,0.005149
51,7744.56,0.43518,0.26126,0.79668,0.96437,0.9392,0.96689,0.8499,0.36783,0.21993,0.76043,0.00505,0.00505,0.00505
52,7894.65,0.43314,0.25973,0.79735,0.96984,0.93595,0.96552,0.84925,0.3684,0.22038,0.76048,0.004951,0.004951,0.004951
53,8045.49,0.43243,0.2603,0.79733,0.96397,0.941,0.96629,0.84813,0.3666,0.21962,0.76119,0.004852,0.004852,0.004852
54,8197.75,0.42968,0.25779,0.79658,0.96617,0.94067,0.96719,0.85063,0.36289,0.21734,0.76034,0.004753,0.004753,0.004753
55,8346.71,0.42469,0.25462,0.79601,0.96765,0.94309,0.96805,0.85432,0.35895,0.21421,0.75991,0.004654,0.004654,0.004654
56,8497.29,0.42316,0.2543,0.79566,0.96245,0.9442,0.96804,0.8548,0.35843,0.21441,0.75884,0.004555,0.004555,0.004555
57,8647.38,0.42275,0.2525,0.79555,0.96533,0.94455,0.96903,0.85567,0.35763,0.21229,0.75826,0.004456,0.004456,0.004456
58,8798.9,0.4175,0.25003,0.79573,0.9704,0.935,0.96863,0.85338,0.35439,0.212,0.75847,0.004357,0.004357,0.004357
59,8949.38,0.41746,0.25003,0.7954,0.96728,0.94315,0.9692,0.85457,0.35318,0.20999,0.75831,0.004258,0.004258,0.004258
60,9099.45,0.41539,0.24897,0.79518,0.96726,0.94523,0.96961,0.85657,0.34885,0.20811,0.75828,0.004159,0.004159,0.004159
61,9250.8,0.41286,0.24668,0.79514,0.96666,0.94637,0.97015,0.85902,0.34971,0.21043,0.75832,0.00406,0.00406,0.00406
62,9401.3,0.41224,0.24604,0.79361,0.96937,0.94071,0.9697,0.86086,0.34736,0.2082,0.75797,0.003961,0.003961,0.003961
63,9552.18,0.40809,0.24443,0.79378,0.96777,0.94178,0.96915,0.86027,0.34663,0.2065,0.75765,0.003862,0.003862,0.003862
64,9702.93,0.40694,0.24349,0.79378,0.96577,0.94551,0.97008,0.86196,0.34394,0.20567,0.75669,0.003763,0.003763,0.003763
65,9856.22,0.40723,0.24309,0.79442,0.97141,0.94277,0.9709,0.86444,0.34224,0.20482,0.75585,0.003664,0.003664,0.003664
66,10007.2,0.40306,0.24102,0.79285,0.97064,0.94436,0.97125,0.86467,0.34023,0.2048,0.75638,0.003565,0.003565,0.003565
67,10158.2,0.40154,0.24061,0.79294,0.97373,0.94485,0.97155,0.86466,0.33737,0.20159,0.75561,0.003466,0.003466,0.003466
68,10310.1,0.39905,0.23806,0.79298,0.97419,0.94167,0.9715,0.86485,0.33608,0.20063,0.75595,0.003367,0.003367,0.003367
69,10462.9,0.3982,0.23801,0.79303,0.97323,0.94405,0.97184,0.86869,0.33459,0.19994,0.75571,0.003268,0.003268,0.003268
70,10613.6,0.39562,0.23637,0.79247,0.97056,0.94622,0.9727,0.86697,0.33293,0.19799,0.75573,0.003169,0.003169,0.003169
71,10766.3,0.39208,0.23489,0.79195,0.97195,0.94604,0.97234,0.86714,0.33169,0.19693,0.75585,0.00307,0.00307,0.00307
72,10916.7,0.39127,0.23343,0.79143,0.97037,0.9464,0.9721,0.86817,0.33065,0.19623,0.75574,0.002971,0.002971,0.002971
73,11070,0.38999,0.23326,0.79144,0.96965,0.94809,0.97232,0.86924,0.32911,0.19549,0.75572,0.002872,0.002872,0.002872
74,11221.6,0.3902,0.23202,0.79142,0.97119,0.94525,0.97234,0.86969,0.3284,0.19518,0.7552,0.002773,0.002773,0.002773
75,11372.1,0.38677,0.2307,0.79167,0.97175,0.94371,0.97226,0.87023,0.32742,0.19496,0.75507,0.002674,0.002674,0.002674
76,11522.9,0.38267,0.22834,0.79075,0.97317,0.94349,0.97215,0.86862,0.32667,0.1947,0.75461,0.002575,0.002575,0.002575
77,11672.9,0.38324,0.22884,0.79182,0.97382,0.94702,0.97209,0.87165,0.32528,0.19434,0.75374,0.002476,0.002476,0.002476
78,11823.7,0.37994,0.22656,0.79111,0.97328,0.94983,0.97368,0.87288,0.3237,0.19297,0.75406,0.002377,0.002377,0.002377
79,11973,0.37973,0.22645,0.79035,0.96967,0.94948,0.97351,0.8735,0.3219,0.19129,0.75363,0.002278,0.002278,0.002278
80,12123.7,0.37621,0.22385,0.791,0.97094,0.94945,0.97356,0.8738,0.32023,0.19023,0.75366,0.002179,0.002179,0.002179
81,12275.9,0.37593,0.22347,0.79009,0.97339,0.95012,0.97406,0.87729,0.31846,0.18943,0.75371,0.00208,0.00208,0.00208
82,12430.4,0.37393,0.22244,0.78989,0.97424,0.94883,0.97447,0.87832,0.31799,0.18978,0.75391,0.001981,0.001981,0.001981
83,12582.5,0.37056,0.22019,0.78933,0.97279,0.9486,0.97431,0.87757,0.31738,0.19006,0.75331,0.001882,0.001882,0.001882
84,12733,0.36901,0.21949,0.78874,0.97291,0.94872,0.97439,0.87785,0.31656,0.18904,0.75335,0.001783,0.001783,0.001783
85,12883.5,0.36677,0.21807,0.78925,0.97235,0.95017,0.97435,0.87768,0.31511,0.18865,0.75306,0.001684,0.001684,0.001684
86,13035.8,0.36616,0.21756,0.78916,0.97417,0.94937,0.97458,0.87816,0.31403,0.18828,0.75296,0.001585,0.001585,0.001585
87,13188.2,0.36486,0.21666,0.78839,0.97276,0.94941,0.97454,0.87961,0.313,0.18802,0.75272,0.001486,0.001486,0.001486
88,13338.5,0.36442,0.2163,0.78869,0.97347,0.9505,0.97458,0.87968,0.31227,0.18717,0.75289,0.001387,0.001387,0.001387
89,13489.3,0.36297,0.21524,0.78901,0.97395,0.95112,0.97482,0.88079,0.31183,0.18704,0.75369,0.001288,0.001288,0.001288
90,13639.1,0.3611,0.21398,0.78895,0.97454,0.95045,0.97466,0.88089,0.31135,0.18637,0.75361,0.001189,0.001189,0.001189
91,13788.6,0.33874,0.20133,0.77948,0.97348,0.95034,0.97431,0.87924,0.31296,0.18667,0.75279,0.00109,0.00109,0.00109
92,13935.9,0.32934,0.19689,0.77861,0.97454,0.94888,0.97444,0.8798,0.31176,0.18581,0.75255,0.000991,0.000991,0.000991
93,14086.7,0.3268,0.19476,0.7783,0.974,0.95009,0.9748,0.88021,0.31071,0.18536,0.75231,0.000892,0.000892,0.000892
94,14233.8,0.32442,0.1936,0.77847,0.97366,0.95155,0.97487,0.8809,0.30981,0.1845,0.75227,0.000793,0.000793,0.000793
95,14379.9,0.32162,0.19202,0.77818,0.97489,0.95105,0.97545,0.88109,0.30821,0.18387,0.75284,0.000694,0.000694,0.000694
96,14526.9,0.31791,0.19012,0.77712,0.97429,0.95113,0.97538,0.88218,0.30721,0.18314,0.75312,0.000595,0.000595,0.000595
97,14671.6,0.31622,0.18876,0.77701,0.9749,0.95102,0.9755,0.88302,0.30634,0.18267,0.75302,0.000496,0.000496,0.000496
98,14820.4,0.31266,0.18709,0.77751,0.97411,0.95144,0.97581,0.88333,0.30549,0.1823,0.75278,0.000397,0.000397,0.000397
99,14968.2,0.31105,0.18598,0.77728,0.97526,0.95095,0.9758,0.88351,0.30464,0.18179,0.75233,0.000298,0.000298,0.000298
100,15115.2,0.30971,0.18477,0.77655,0.97554,0.95124,0.97579,0.88385,0.30387,0.18122,0.7521,0.000199,0.000199,0.000199
