               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.022359,           0.0069669,          0.00063962,             0.91445,             0.87104,              0.9019,             0.73374,            0.014828,           0.0064319,          0.00045009,            0.003317,            0.003317,            0.003317
                  36,            0.022191,           0.0070224,          0.00063924,             0.93526,             0.86003,             0.89911,             0.72891,            0.014709,           0.0063664,          0.00044937,           0.0032675,           0.0032675,           0.0032675
                  37,            0.021987,           0.0070792,          0.00062705,             0.93962,             0.85626,             0.89448,             0.72797,            0.014671,           0.0064327,          0.00041984,            0.003218,            0.003218,            0.003218
                  38,            0.022042,           0.0069543,          0.00062669,             0.94215,             0.86416,             0.90559,             0.73794,            0.014627,           0.0063034,          0.00044004,           0.0031685,           0.0031685,           0.0031685
                  39,            0.021985,           0.0070662,          0.00059995,             0.94364,               0.866,             0.89973,             0.73586,            0.014484,           0.0062351,           0.0004009,            0.003119,            0.003119,            0.003119
                  40,            0.021967,           0.0069435,          0.00059916,             0.95573,             0.86473,             0.90622,             0.74497,            0.014411,           0.0062747,          0.00042299,           0.0030695,           0.0030695,           0.0030695
                  41,            0.021947,           0.0068155,          0.00061045,             0.95841,              0.8778,              0.9143,             0.74812,            0.014329,           0.0061878,          0.00040483,             0.00302,             0.00302,             0.00302
                  42,             0.02174,           0.0068621,          0.00058832,             0.95443,             0.87585,             0.91406,             0.73293,            0.014875,           0.0061385,          0.00039197,           0.0029705,           0.0029705,           0.0029705
                  43,            0.021691,           0.0068656,          0.00059007,              0.9549,             0.87625,             0.91317,             0.73944,            0.014631,           0.0060789,          0.00038887,            0.002921,            0.002921,            0.002921
                  44,            0.021532,           0.0068639,          0.00057757,              0.9595,             0.87695,             0.91514,             0.74417,            0.014391,           0.0062453,          0.00038186,           0.0028715,           0.0028715,           0.0028715
                  45,            0.021411,           0.0067613,          0.00057351,             0.95273,             0.87919,             0.91435,             0.75383,            0.013992,           0.0059904,           0.0003705,            0.002822,            0.002822,            0.002822
                  46,            0.021456,           0.0068096,          0.00057279,             0.95886,             0.87035,             0.90931,             0.74585,            0.014022,           0.0058884,          0.00036798,           0.0027725,           0.0027725,           0.0027725
                  47,            0.021301,           0.0067456,          0.00056297,             0.95784,             0.87103,             0.91241,             0.75317,            0.013918,           0.0059645,          0.00036516,            0.002723,            0.002723,            0.002723
                  48,            0.021101,            0.006811,          0.00055695,             0.95568,             0.88102,             0.91689,             0.75865,            0.013833,           0.0059754,          0.00036436,           0.0026735,           0.0026735,           0.0026735
                  49,            0.021109,           0.0066173,          0.00054627,              0.9562,             0.88248,             0.91889,             0.76023,            0.013782,           0.0060286,          0.00035628,            0.002624,            0.002624,            0.002624
                  50,             0.02106,           0.0066342,          0.00055806,             0.95456,             0.88422,             0.92316,             0.76831,            0.013691,           0.0058358,          0.00034383,           0.0025745,           0.0025745,           0.0025745
                  51,             0.02097,           0.0065979,          0.00054304,             0.95462,             0.89075,             0.92545,             0.76671,            0.013654,           0.0057772,          0.00034247,            0.002525,            0.002525,            0.002525
                  52,            0.020663,           0.0065375,          0.00053508,             0.96371,             0.89212,             0.92828,             0.76655,            0.013785,           0.0058606,          0.00033291,           0.0024755,           0.0024755,           0.0024755
                  53,            0.020764,           0.0065668,          0.00052406,             0.95513,             0.89584,             0.92921,              0.7673,            0.013603,            0.005834,          0.00033647,            0.002426,            0.002426,            0.002426
                  54,            0.020646,           0.0065018,          0.00052788,             0.95995,             0.89389,               0.932,             0.77258,            0.013563,           0.0057727,          0.00033032,           0.0023765,           0.0023765,           0.0023765
                  55,            0.020532,           0.0064747,          0.00051776,             0.96051,             0.89783,               0.933,             0.77061,            0.013456,           0.0056866,          0.00032788,            0.002327,            0.002327,            0.002327
                  56,            0.020515,           0.0064146,          0.00051631,             0.96073,             0.88978,             0.93085,             0.77315,             0.01348,           0.0057564,           0.0003178,           0.0022775,           0.0022775,           0.0022775
                  57,            0.020422,           0.0064353,          0.00050705,             0.96166,             0.89852,             0.93411,             0.77535,            0.013332,           0.0056701,           0.0003101,            0.002228,            0.002228,            0.002228
                  58,            0.020231,           0.0064501,           0.0005033,              0.9637,             0.89915,             0.93468,             0.77935,             0.01318,           0.0055875,          0.00031001,           0.0021785,           0.0021785,           0.0021785
                  59,            0.020087,            0.006409,          0.00049491,              0.9643,             0.90061,             0.93656,             0.78195,            0.013194,           0.0055946,          0.00030364,            0.002129,            0.002129,            0.002129
